,index,isbn,book_title,book_author,year_of_publication,publisher,img_l,Summary,Category,Borrowed
0,0,0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",Fiction,33
1,1,0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",Fiction,592
2,2,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,"Staring unflinchingly into the abyss of slavery, this novel transforms
history into a story as powerful as Exodus and as intimate as a
lullaby.",Fiction,174
3,3,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,"In New Vegetarian Celia Brooks Brown presents an innovative approach
to vegetarian cooking.",Cooking,35
4,4,0971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,"Wild animus is a search for the primordial, a test of human
foundations and a journey to the breaking point.",Fiction,2381
5,5,0345402871,Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,"A fatal mid-air collision involving a commercial airliner prompts a
frantic, desperate investigation into the causes of the accident, in a
thriller exploring the issue of safety and security in the aircraft
industry",Fiction,309
6,6,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,"Using a quantum time machine, a group of young historians is sent back
to the year 1357 to rescue their trapped project leader.",Fiction,505
7,7,0553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1989,Spectra,http://images.amazon.com/images/P/0553278398.01.LZZZZZZZ.jpg,"In the year 12,020 G.E., Hari Seldon arrives in the domed city of
Trantor and begins to develop his theory of psychohistory, which
predicts the rise of a power greater than the Empire. Reissue.",Fiction,51
8,8,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,"Five American expatriates living in Budapest in the early 1990s seek
to establish themselves and make their fortunes in a city still
haunted by the tragedies of its Communist past.",Fiction,25
9,9,0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,"Sister John of the Cross, an elderly nun, experiences a series of
dazzling visions, but she is confronted with a difficult choice
between her spiritual gifts and curing the powerful headaches that
accompany her visions.",Fiction,60
10,10,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,"The unforgettable novel of a childhood in a sleepy Southern town and
the crisis of conscience that rocked it, To Kill A Mockingbird became
both an instant bestseller and a critical success when it was first
published in 1960.",Fiction,424
11,11,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,"True story of how three men and a great racehorse captivated the
world.",History,226
12,12,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,"As this spellbinding novel unfolds, it draws the reader into a world
of heartbreak and redeeming love, testing the boundaries of family and
the many separate truths about the ties that bind.",Fiction,116
13,13,0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,"Her new job as a writer with the city&#39;s Downtown magazine
introduces her to many unforgettable people and propels her into the
center of momentous events that will irrevocably alter her heart, her
career, and her world.",Fiction,64
